Report Refresh Date,User Principal Name,Display Name,Is Deleted,Deleted Date,Has Exchange License,Has OneDrive License,Has SharePoint License,Has Skype For Business License,Has Yammer License,Has Teams License,Exchange Last Activity Date,OneDrive Last Activity Date,SharePoint Last Activity Date,Skype For Business Last Activity Date,Yammer Last Activity Date,Teams Last Activity Date,Exchange License Assign Date,OneDrive License Assign Date,SharePoint License Assign Date,Skype For Business License Assign Date,Yammer License Assign Date,Teams License Assign Date,Assigned Products
6/2/2026,A74744845383EF52A947E0F62F6E01ED,054E6338A6C4AEC797CC3DE2A73EF819,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,2/5/2026,2/5/2026,2/5/2026,,2/5/2026,2/5/2026,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
6/2/2026,0008C3F95A254C69B9875A070BCCE9B5,258681F8063FE52BB400B27C88F01E5D,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,2/5/2026,2/5/2026,2/5/2026,,2/5/2026,2/5/2026,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
6/2/2026,196A6AE4FE2D901911644ACDC14FA9D1,21B493EE47FCA792D38BD9B63205F4E2,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,2/5/2026,2/5/2026,2/5/2026,,2/5/2026,2/5/2026,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
6/2/2026,D3F2C84BCB8974EF5C2810583875838D,FE999A676AFF614D21646758285132A9,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,2/5/2026,2/5/2026,2/5/2026,,2/5/2026,2/5/2026,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
6/2/2026,9769BD9EBDDE62923999FAB940AE9B80,FA8B574D7081B4BE15A0A895B6E4E1EE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,
6/2/2026,CE4229E8527B026C02D857DAF11B11E0,BDA90507DA6C88747B8FB16EEF001802,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,2/5/2026,2/5/2026,2/5/2026,,2/5/2026,2/5/2026,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
6/2/2026,57E12C9FA0C3DAC19164E3AA4B67AA32,3B6D8544E46C06B16DF4A4D0C3AF345A,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,1/14/2026,6/1/2026,,,,8/21/2025,8/21/2025,8/21/2025,,8/21/2025,8/21/2025,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)+MICROSOFT POWER AUTOMATE FREE
6/2/2026,A085A66E338A79BB9D9076DEEF74DBF7,A450090AFCFCE85176B4D02F34667102,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,2/5/2026,2/5/2026,2/5/2026,,2/5/2026,2/5/2026,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
6/2/2026,9DCF42D59E7DEEAE83FA23DCF259C33A,F439F993533D3BBE927122D92A46B631,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,2/5/2026,2/5/2026,2/5/2026,,2/5/2026,2/5/2026,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
6/2/2026,127136DBFA07C850B643123143AC8A0E,ED914F9C385D2A2D56BA3FB92084CD62,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,2/5/2026,2/5/2026,2/5/2026,,2/5/2026,2/5/2026,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
6/2/2026,8B3C32B6650B4268A90A3C986A09B132,239D7798F8B7F7419628E07986F07A57,FALSE,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,2/5/2026,2/5/2026,2/5/2026,,2/5/2026,2/5/2026,MICROSOFT 365 E5 DEVELOPER (WITHOUT WINDOWS AND AUDIO CONFERENCING)
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1/1/1900,,,,,,,,,,,,,,,,,,,,,,,
