"Id","DisplayName","Description"
"08257ce0-bb77-48f1-a897-9f0d883d91cf","Privileged Authentication Administrator","Allowed to view, set and reset authentication method information for any user (admin or non-admin)."
"1c13643c-87c1-44db-ba42-514517b98457","Insights Administrator","Has administrative access in the Microsoft 365 Insights app."
"3ea2486d-bc9d-4924-84fa-e55c63ddbf2c","Conditional Access Administrator","Can manage Conditional Access capabilities."
"9ef6f8ad-7aca-4d32-9ef7-6cdd9c268d1e","Security Administrator","Security Administrator allows ability to read and manage security configuration and reports."
"aa93e778-fa3f-4ff2-ab19-1835e106e0a1","Helpdesk Administrator","Can reset passwords for non-administrators and Helpdesk Administrators."
"b22f5676-23e6-464f-90ef-b44eaa8fe3ab","Directory Synchronization Accounts","Only used by Microsoft Entra Connect service."
"be2bd329-7ddd-45ff-9c8a-c866b1d427b1","User Administrator","Can manage all aspects of users and groups, including resetting passwords for limited admins."
"c2abca68-ada9-4153-b7f4-f8274427a8b8","Reports Reader","Can read sign-in and audit reports."
"c3f9b9d8-eef8-40a4-9174-e9e74cc753a9","Global Administrator","Can manage all aspects of Microsoft Entra ID and Microsoft services that use Microsoft Entra identities."
"c48e0a06-68b7-4fe4-85b5-ed9bb348978a","Azure AD Joined Device Local Administrator","Users assigned to this role are added to the local administrators group on Microsoft Entra joined devices."
"d77fd694-139f-4f78-bcb0-d2e33545c7ab","Attribute Assignment Administrator","Assign custom security attribute keys and values to supported Microsoft Entra objects."
"df8640a8-5e03-44e4-9e91-e2b86ce957d4","Attribute Definition Administrator","Define and manage the definition of custom security attributes."
"f3f783c0-32a2-4fa6-8ffc-ac987da92f0e","Directory Readers","Can read basic directory information. Commonly used to grant directory read access to applications and guests."
